,household,scenario,absolute poverty,relative poverty,year,minwage
211,Üksik mees,Tegelik,6.42,33.62,2018,516
212,Üksik mees,Ennustatud,6.42,33.62,2018,516
213,Üksik naine,Tegelik,2.16,22.68,2018,516
214,Üksik naine,Ennustatud,2.16,22.06,2018,516
215,Üksikvanem,Tegelik,0.19,30.12,2018,516
216,Üksikvanem,Ennustatud,0.19,30.29,2018,516
217,Lasteta paar,Tegelik,0.63,9.31,2018,516
218,Lasteta paar,Ennustatud,0.63,9.66,2018,516
219,Ühe lapsega paar,Tegelik,0,7.35,2018,516
220,Ühe lapsega paar,Ennustatud,0,7.34,2018,516
221,Kahe lapsega paar,Tegelik,0,9.74,2018,516
222,Kahe lapsega paar,Ennustatud,0,9.54,2018,516
223,Kolme ja enama lapsega paar,Tegelik,0,7.35,2018,516
224,Kolme ja enama lapsega paar,Ennustatud,0,7.35,2018,516
225,Üksik mees,Tegelik,6.42,33.62,2018,517
226,Üksik mees,Ennustatud,6.42,33.62,2018,517
227,Üksik naine,Tegelik,2.16,22.68,2018,517
228,Üksik naine,Ennustatud,2.16,22.06,2018,517
229,Üksikvanem,Tegelik,0.19,30.12,2018,517
230,Üksikvanem,Ennustatud,0.19,31.24,2018,517
231,Lasteta paar,Tegelik,0.63,9.31,2018,517
232,Lasteta paar,Ennustatud,0.63,9.66,2018,517
233,Ühe lapsega paar,Tegelik,0,7.35,2018,517
234,Ühe lapsega paar,Ennustatud,0,7.34,2018,517
235,Kahe lapsega paar,Tegelik,0,9.74,2018,517
236,Kahe lapsega paar,Ennustatud,0,9.33,2018,517
237,Kolme ja enama lapsega paar,Tegelik,0,7.35,2018,517
238,Kolme ja enama lapsega paar,Ennustatud,0,7.35,2018,517
239,Üksik mees,Tegelik,6.42,33.62,2018,518
240,Üksik mees,Ennustatud,6.42,33.38,2018,518
241,Üksik naine,Tegelik,2.16,22.68,2018,518
242,Üksik naine,Ennustatud,2.16,22.06,2018,518
243,Üksikvanem,Tegelik,0.19,30.12,2018,518
244,Üksikvanem,Ennustatud,0.19,31.24,2018,518
245,Lasteta paar,Tegelik,0.63,9.31,2018,518
246,Lasteta paar,Ennustatud,0.63,9.66,2018,518
247,Ühe lapsega paar,Tegelik,0,7.35,2018,518
248,Ühe lapsega paar,Ennustatud,0,7.34,2018,518
249,Kahe lapsega paar,Tegelik,0,9.74,2018,518
250,Kahe lapsega paar,Ennustatud,0,9.33,2018,518
251,Kolme ja enama lapsega paar,Tegelik,0,7.35,2018,518
252,Kolme ja enama lapsega paar,Ennustatud,0,7.35,2018,518
253,Üksik mees,Tegelik,6.42,33.62,2018,519
254,Üksik mees,Ennustatud,6.42,33.38,2018,519
255,Üksik naine,Tegelik,2.16,22.68,2018,519
256,Üksik naine,Ennustatud,2.16,22.06,2018,519
257,Üksikvanem,Tegelik,0.19,30.12,2018,519
258,Üksikvanem,Ennustatud,0.19,31.24,2018,519
259,Lasteta paar,Tegelik,0.63,9.31,2018,519
260,Lasteta paar,Ennustatud,0.63,9.66,2018,519
261,Ühe lapsega paar,Tegelik,0,7.35,2018,519
262,Ühe lapsega paar,Ennustatud,0,7.34,2018,519
263,Kahe lapsega paar,Tegelik,0,9.74,2018,519
264,Kahe lapsega paar,Ennustatud,0,9.33,2018,519
265,Kolme ja enama lapsega paar,Tegelik,0,7.35,2018,519
266,Kolme ja enama lapsega paar,Ennustatud,0,7.35,2018,519
267,Üksik mees,Tegelik,6.42,33.62,2018,520
268,Üksik mees,Ennustatud,6.42,33.38,2018,520
269,Üksik naine,Tegelik,2.16,22.68,2018,520
270,Üksik naine,Ennustatud,2.16,22.06,2018,520
271,Üksikvanem,Tegelik,0.19,30.12,2018,520
272,Üksikvanem,Ennustatud,0.19,31.24,2018,520
273,Lasteta paar,Tegelik,0.63,9.31,2018,520
274,Lasteta paar,Ennustatud,0.63,9.66,2018,520
275,Ühe lapsega paar,Tegelik,0,7.35,2018,520
276,Ühe lapsega paar,Ennustatud,0,7.34,2018,520
277,Kahe lapsega paar,Tegelik,0,9.74,2018,520
278,Kahe lapsega paar,Ennustatud,0,9.26,2018,520
279,Kolme ja enama lapsega paar,Tegelik,0,7.35,2018,520
280,Kolme ja enama lapsega paar,Ennustatud,0,7.35,2018,520
281,Üksik mees,Tegelik,6.42,33.62,2018,521
282,Üksik mees,Ennustatud,6.42,33.38,2018,521
283,Üksik naine,Tegelik,2.16,22.68,2018,521
284,Üksik naine,Ennustatud,2.16,21.94,2018,521
285,Üksikvanem,Tegelik,0.19,30.12,2018,521
286,Üksikvanem,Ennustatud,0.19,31.24,2018,521
287,Lasteta paar,Tegelik,0.63,9.31,2018,521
288,Lasteta paar,Ennustatud,0.63,9.66,2018,521
289,Ühe lapsega paar,Tegelik,0,7.35,2018,521
290,Ühe lapsega paar,Ennustatud,0,7.34,2018,521
291,Kahe lapsega paar,Tegelik,0,9.74,2018,521
292,Kahe lapsega paar,Ennustatud,0,9.26,2018,521
293,Kolme ja enama lapsega paar,Tegelik,0,7.35,2018,521
294,Kolme ja enama lapsega paar,Ennustatud,0,7.35,2018,521
295,Üksik mees,Tegelik,6.42,33.62,2018,522
296,Üksik mees,Ennustatud,6.42,33.38,2018,522
297,Üksik naine,Tegelik,2.16,22.68,2018,522
298,Üksik naine,Ennustatud,2.16,21.94,2018,522
299,Üksikvanem,Tegelik,0.19,30.12,2018,522
300,Üksikvanem,Ennustatud,0.19,31.24,2018,522
301,Lasteta paar,Tegelik,0.63,9.31,2018,522
302,Lasteta paar,Ennustatud,0.63,9.66,2018,522
303,Ühe lapsega paar,Tegelik,0,7.35,2018,522
304,Ühe lapsega paar,Ennustatud,0,7.34,2018,522
305,Kahe lapsega paar,Tegelik,0,9.74,2018,522
306,Kahe lapsega paar,Ennustatud,0,9.26,2018,522
307,Kolme ja enama lapsega paar,Tegelik,0,7.35,2018,522
308,Kolme ja enama lapsega paar,Ennustatud,0,7.35,2018,522
309,Üksik mees,Tegelik,6.42,33.62,2018,523
310,Üksik mees,Ennustatud,6.42,33.38,2018,523
311,Üksik naine,Tegelik,2.16,22.68,2018,523
312,Üksik naine,Ennustatud,2.16,21.94,2018,523
313,Üksikvanem,Tegelik,0.19,30.12,2018,523
314,Üksikvanem,Ennustatud,0.19,31.24,2018,523
315,Lasteta paar,Tegelik,0.63,9.31,2018,523
316,Lasteta paar,Ennustatud,0.63,9.66,2018,523
317,Ühe lapsega paar,Tegelik,0,7.35,2018,523
318,Ühe lapsega paar,Ennustatud,0,7.34,2018,523
319,Kahe lapsega paar,Tegelik,0,9.74,2018,523
320,Kahe lapsega paar,Ennustatud,0,9.26,2018,523
321,Kolme ja enama lapsega paar,Tegelik,0,7.35,2018,523
322,Kolme ja enama lapsega paar,Ennustatud,0,7.35,2018,523
323,Üksik mees,Tegelik,6.42,33.62,2018,524
324,Üksik mees,Ennustatud,6.42,33.38,2018,524
325,Üksik naine,Tegelik,2.16,22.68,2018,524
326,Üksik naine,Ennustatud,2.16,21.94,2018,524
327,Üksikvanem,Tegelik,0.19,30.12,2018,524
328,Üksikvanem,Ennustatud,0.19,31.24,2018,524
329,Lasteta paar,Tegelik,0.63,9.31,2018,524
330,Lasteta paar,Ennustatud,0.63,9.66,2018,524
331,Ühe lapsega paar,Tegelik,0,7.35,2018,524
332,Ühe lapsega paar,Ennustatud,0,7.34,2018,524
333,Kahe lapsega paar,Tegelik,0,9.74,2018,524
334,Kahe lapsega paar,Ennustatud,0,9.26,2018,524
335,Kolme ja enama lapsega paar,Tegelik,0,7.35,2018,524
336,Kolme ja enama lapsega paar,Ennustatud,0,7.35,2018,524
337,Üksik mees,Tegelik,6.42,33.62,2018,525
338,Üksik mees,Ennustatud,6.42,33.38,2018,525
339,Üksik naine,Tegelik,2.16,22.68,2018,525
340,Üksik naine,Ennustatud,2.16,21.58,2018,525
341,Üksikvanem,Tegelik,0.19,30.12,2018,525
342,Üksikvanem,Ennustatud,0.19,31.24,2018,525
343,Lasteta paar,Tegelik,0.63,9.31,2018,525
344,Lasteta paar,Ennustatud,0.63,9.62,2018,525
345,Ühe lapsega paar,Tegelik,0,7.35,2018,525
346,Ühe lapsega paar,Ennustatud,0,7.34,2018,525
347,Kahe lapsega paar,Tegelik,0,9.74,2018,525
348,Kahe lapsega paar,Ennustatud,0,9.26,2018,525
349,Kolme ja enama lapsega paar,Tegelik,0,7.35,2018,525
350,Kolme ja enama lapsega paar,Ennustatud,0,7.35,2018,525
351,Üksik mees,Tegelik,6.42,33.62,2018,526
352,Üksik mees,Ennustatud,6.42,33.38,2018,526
353,Üksik naine,Tegelik,2.16,22.68,2018,526
354,Üksik naine,Ennustatud,2.16,21.58,2018,526
355,Üksikvanem,Tegelik,0.19,30.12,2018,526
356,Üksikvanem,Ennustatud,0.19,31.24,2018,526
357,Lasteta paar,Tegelik,0.63,9.31,2018,526
358,Lasteta paar,Ennustatud,0.63,9.62,2018,526
359,Ühe lapsega paar,Tegelik,0,7.35,2018,526
360,Ühe lapsega paar,Ennustatud,0,7.34,2018,526
361,Kahe lapsega paar,Tegelik,0,9.74,2018,526
362,Kahe lapsega paar,Ennustatud,0,9.26,2018,526
363,Kolme ja enama lapsega paar,Tegelik,0,7.35,2018,526
364,Kolme ja enama lapsega paar,Ennustatud,0,7.35,2018,526
365,Üksik mees,Tegelik,6.42,33.62,2018,527
366,Üksik mees,Ennustatud,6.42,33.38,2018,527
367,Üksik naine,Tegelik,2.16,22.68,2018,527
368,Üksik naine,Ennustatud,2.16,21.58,2018,527
369,Üksikvanem,Tegelik,0.19,30.12,2018,527
370,Üksikvanem,Ennustatud,0.19,31.24,2018,527
371,Lasteta paar,Tegelik,0.63,9.31,2018,527
372,Lasteta paar,Ennustatud,0.63,9.57,2018,527
373,Ühe lapsega paar,Tegelik,0,7.35,2018,527
374,Ühe lapsega paar,Ennustatud,0,7.34,2018,527
375,Kahe lapsega paar,Tegelik,0,9.74,2018,527
376,Kahe lapsega paar,Ennustatud,0,9.26,2018,527
377,Kolme ja enama lapsega paar,Tegelik,0,7.35,2018,527
378,Kolme ja enama lapsega paar,Ennustatud,0,7.35,2018,527
379,Üksik mees,Tegelik,6.42,33.62,2018,528
380,Üksik mees,Ennustatud,6.42,32.93,2018,528
381,Üksik naine,Tegelik,2.16,22.68,2018,528
382,Üksik naine,Ennustatud,2.16,21.58,2018,528
383,Üksikvanem,Tegelik,0.19,30.12,2018,528
384,Üksikvanem,Ennustatud,0.19,31.24,2018,528
385,Lasteta paar,Tegelik,0.63,9.31,2018,528
386,Lasteta paar,Ennustatud,0.63,9.57,2018,528
387,Ühe lapsega paar,Tegelik,0,7.35,2018,528
388,Ühe lapsega paar,Ennustatud,0,7.34,2018,528
389,Kahe lapsega paar,Tegelik,0,9.74,2018,528
390,Kahe lapsega paar,Ennustatud,0,9.26,2018,528
391,Kolme ja enama lapsega paar,Tegelik,0,7.35,2018,528
392,Kolme ja enama lapsega paar,Ennustatud,0,7.35,2018,528
393,Üksik mees,Tegelik,6.42,33.62,2018,529
394,Üksik mees,Ennustatud,6.42,32.75,2018,529
395,Üksik naine,Tegelik,2.16,22.68,2018,529
396,Üksik naine,Ennustatud,2.16,20.93,2018,529
397,Üksikvanem,Tegelik,0.19,30.12,2018,529
398,Üksikvanem,Ennustatud,0.19,31.24,2018,529
399,Lasteta paar,Tegelik,0.63,9.31,2018,529
400,Lasteta paar,Ennustatud,0.63,9.57,2018,529
401,Ühe lapsega paar,Tegelik,0,7.35,2018,529
402,Ühe lapsega paar,Ennustatud,0,7.34,2018,529
403,Kahe lapsega paar,Tegelik,0,9.74,2018,529
404,Kahe lapsega paar,Ennustatud,0,9.26,2018,529
405,Kolme ja enama lapsega paar,Tegelik,0,7.35,2018,529
406,Kolme ja enama lapsega paar,Ennustatud,0,7.35,2018,529
407,Üksik mees,Tegelik,6.42,33.62,2018,530
408,Üksik mees,Ennustatud,6.42,32.75,2018,530
409,Üksik naine,Tegelik,2.16,22.68,2018,530
410,Üksik naine,Ennustatud,2.16,20.93,2018,530
411,Üksikvanem,Tegelik,0.19,30.12,2018,530
412,Üksikvanem,Ennustatud,0.19,31.24,2018,530
413,Lasteta paar,Tegelik,0.63,9.31,2018,530
414,Lasteta paar,Ennustatud,0.63,9.57,2018,530
415,Ühe lapsega paar,Tegelik,0,7.35,2018,530
