,household,scenario,absolute poverty,relative poverty,year,minwage
335,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,608
336,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,608
337,üksik mees,Tegelik 2020,5.47,32.99,2020,609
338,üksik mees,Ennustatud 2020,5.47,32.99,2020,609
339,üksik naine,Tegelik 2020,1.35,21.29,2020,609
340,üksik naine,Ennustatud 2020,1.35,21.29,2020,609
341,üksikvanem,Tegelik 2020,0,29.34,2020,609
342,üksikvanem,Ennustatud 2020,0,28.38,2020,609
343,Lasteta paar,Tegelik 2020,0.26,9.21,2020,609
344,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,609
345,ühe lapsega paar,Tegelik 2020,0,7.3,2020,609
346,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,609
347,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,609
348,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,609
349,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,609
350,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,609
351,üksik mees,Tegelik 2020,5.47,32.99,2020,610
352,üksik mees,Ennustatud 2020,5.47,32.99,2020,610
353,üksik naine,Tegelik 2020,1.35,21.29,2020,610
354,üksik naine,Ennustatud 2020,1.35,21.29,2020,610
355,üksikvanem,Tegelik 2020,0,29.34,2020,610
356,üksikvanem,Ennustatud 2020,0,28.38,2020,610
357,Lasteta paar,Tegelik 2020,0.26,9.21,2020,610
358,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,610
359,ühe lapsega paar,Tegelik 2020,0,7.3,2020,610
360,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,610
361,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,610
362,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,610
363,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,610
364,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,610
365,üksik mees,Tegelik 2020,5.47,32.99,2020,611
366,üksik mees,Ennustatud 2020,5.47,32.99,2020,611
367,üksik naine,Tegelik 2020,1.35,21.29,2020,611
368,üksik naine,Ennustatud 2020,1.35,21.29,2020,611
369,üksikvanem,Tegelik 2020,0,29.34,2020,611
370,üksikvanem,Ennustatud 2020,0,28.38,2020,611
371,Lasteta paar,Tegelik 2020,0.26,9.21,2020,611
372,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,611
373,ühe lapsega paar,Tegelik 2020,0,7.3,2020,611
374,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,611
375,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,611
376,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,611
377,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,611
378,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,611
379,üksik mees,Tegelik 2020,5.47,32.99,2020,612
380,üksik mees,Ennustatud 2020,5.47,32.99,2020,612
381,üksik naine,Tegelik 2020,1.35,21.29,2020,612
382,üksik naine,Ennustatud 2020,1.35,21.29,2020,612
383,üksikvanem,Tegelik 2020,0,29.34,2020,612
384,üksikvanem,Ennustatud 2020,0,28.38,2020,612
385,Lasteta paar,Tegelik 2020,0.26,9.21,2020,612
386,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,612
387,ühe lapsega paar,Tegelik 2020,0,7.3,2020,612
388,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,612
389,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,612
390,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,612
391,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,612
392,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,612
393,üksik mees,Tegelik 2020,5.47,32.99,2020,613
394,üksik mees,Ennustatud 2020,5.47,32.99,2020,613
395,üksik naine,Tegelik 2020,1.35,21.29,2020,613
396,üksik naine,Ennustatud 2020,1.35,21.29,2020,613
397,üksikvanem,Tegelik 2020,0,29.34,2020,613
398,üksikvanem,Ennustatud 2020,0,28.38,2020,613
399,Lasteta paar,Tegelik 2020,0.26,9.21,2020,613
400,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,613
401,ühe lapsega paar,Tegelik 2020,0,7.3,2020,613
402,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,613
403,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,613
404,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,613
405,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,613
406,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,613
407,üksik mees,Tegelik 2020,5.47,32.99,2020,614
408,üksik mees,Ennustatud 2020,5.47,32.99,2020,614
409,üksik naine,Tegelik 2020,1.35,21.29,2020,614
410,üksik naine,Ennustatud 2020,1.35,21.29,2020,614
411,üksikvanem,Tegelik 2020,0,29.34,2020,614
412,üksikvanem,Ennustatud 2020,0,28.38,2020,614
413,Lasteta paar,Tegelik 2020,0.26,9.21,2020,614
414,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,614
415,ühe lapsega paar,Tegelik 2020,0,7.3,2020,614
416,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,614
417,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,614
418,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,614
419,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,614
420,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,614
421,üksik mees,Tegelik 2020,5.47,32.99,2020,615
422,üksik mees,Ennustatud 2020,5.47,32.99,2020,615
423,üksik naine,Tegelik 2020,1.35,21.29,2020,615
